"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Castanea","Corylus","Ilex","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Myrica","Amaranthaceae","Poaceae","Acer.rubrum","Fraxinus.undiff.","Taxodium","Tsuga","Vitis","Populus","Fagus","Polygonum.undiff.","Ranunculus","cf..Rhus","Cephalanthus","Ericaceae","Fabaceae.undiff.","Gentianella","Acer.undiff.","Cyperaceae","Hypericum","Cupressaceae.undiff.","Jasione","Boraginaceae.undiff.","Juglans","Plantaginaceae.undiff.","Parthenocissus","Picea","Brassicaceae","Iva","Xanthium","Magnolia","Rosaceae","Thalictrum","Apiaceae","Fraxinus..tricolpate.","Pinus.subg..Strobus","Tilia","Polygonum.persicaria.type","Fagus.Nyssa","Caryophyllaceae","cf..Rhamnus","Celtis","Asteraceae.subf..Cichorioideae","Plantago","Larix","Asteraceae.undiff.","Polygonella","cf..Sanguisorba","Heliotropium","Trifolium","cf..Verbena","Cornus","Acer.saccharum","Abies","Fraxinus..tetracolpate.","Parnassia","Epilobium","Impatiens","cf..Rumex","Polygala"
400,7878,396.5,3,1,3,0,1,0,14,4,5,30.5,197,0,89,0,0,5,1,1,5,0,24,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,8030,468,0,6,5,0,0,1,10,5,5,3,281,1,110,1,2,3,3,0,0,1,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,8332,418,0,3,5,0,0,0,7,5,2,5,248,0,94,0,0,6,0,2,0,1,29,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,8482,423.5,1,3,3,1,1,0,11,3,2,20,257.5,0,75,0,3,4,1,1,0,0,20,0,2,0,0,0,0,1,0,6,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,8631,431.5,0,5,3,0,0,3,6,3,1,8,263.5,0,86,0,0,1,2,4,0,0,30,0,6,0,0,0,0,0,0,0,2,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,8779,390,0,6,0,1,0,0,12,0,2,2.5,218.5,2,98,0,2,2,0,1,0,1,23,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,9074,407,1,3,1,0,0,0,9,1,5,11,238,1,97,0,2,1,0,0,0,0,22,0,4,0,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,9220,427,1,1,5,0,0,0,11,2,6,2,235,1,105,0,1,2,1,0,0,0,32,0,4,0,0,0,2,2,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,9509,364.5,1,3,6,0,0,0,0,0,3,2,167.5,0,123,0,1,4,0,1,0,0,29,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,11,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
448,9653,358,0,7,1,1,0,0,7,1,0,6,206,0,84,0,2,0,0,2,1,0,28,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
