"sample.depths","sample.ages","Abies","Acer","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Caryophyllaceae","cf..Myrica","Coptis.trifolia","Cornus","Corylus","Cyperaceae","Cystopteris","Diphasiastrum.complanatum","Dryopteris.carthusiana","Epilobium","Ericales","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Gentianaceae","Huperzia.lucidula","Huperzia.selago","Indeterminable","Isoëtes","Juniperus","Larix","Limonium","Linnaea.borealis","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum","Nemopanthus","Nuphar","Nymphaea","Osmunda","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonaceae.undiff.","Populus","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown"
410,7830,7,0,0,83,0,0,0,0,0,0,226,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,45,0,2,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
420,8354,17,0,0,90,0,0,0,0,0,0,179,1,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,1,0,0,0,0,0,1,0,8,0,0,1,0,0,77,1,4,4,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
425,8616,48,0,0,88,0,0,0,0,1,2,128,0,0,0,22,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,72,0,2,4,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
430,8878,40,0,0,78,0,0,0,2,1,0,98,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,16,0,2,0,0,0,1,0,0,0,6,0,0,0,0,0,62,1,2,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
435,9140,24,0,0,196,0,0,0,0,0,0,113,0,0,0,16,0,0,0,2,0,0,0,0,1,0,0,0,3,3,0,0,0,0,16,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,34,2,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0
440,9364,22,0,0,106,0,0,0,0,0,0,118,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0,11,0,0,0,0,0,43,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1
450,9739,22,0,0,46,0,1,0,0,2,0,138,0,0,0,14,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,62,1,2,5,0,2,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
460,10114,22,0,0,38,0,0,0,0,3,0,167,0,0,0,18,0,0,0,5,0,2,0,0,0,0,0,0,11,0,0,0,0,0,12,0,2,0,0,0,2,1,2,1,24,0,0,0,0,0,73,1,6,12,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
465,10302,24,0,0,59,0,0,0,0,1,0,139,0,0,0,22,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,22,0,3,0,0,0,0,2,0,0,19,0,0,0,0,0,35,0,5,4,0,6,1,2,0,0,0,0,0,0,1,1,0,0,0,3,0,2,0,0,0,0,2
470,10489,9,0,0,20,0,2,0,0,1,0,166,0,0,0,16,0,0,0,6,0,1,0,0,1,0,0,0,12,0,0,0,1,0,17,0,1,0,0,0,1,0,0,0,18,0,0,0,0,0,71,0,1,4,0,7,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
475,10677,1,0,0,11,0,0,0,0,0,0,203,0,0,0,26,0,0,0,5,0,0,0,0,1,0,0,0,16,0,0,0,0,0,33,0,2,0,0,0,1,5,0,0,14,0,0,0,0,0,78,3,2,13,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
480,10864,1,0,0,21,0,0,0,1,1,0,210,0,0,0,20,0,0,0,8,0,0,6,0,2,0,0,0,14,0,0,0,0,0,15,0,4,0,0,0,3,4,0,0,16,0,0,0,0,0,27,1,1,2,0,4,0,4,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
490,11239,0,0,0,18,0,1,0,1,1,0,173,0,0,0,19,0,0,0,13,0,1,0,0,2,0,0,0,13,0,0,0,0,0,13,0,6,0,0,0,7,3,0,0,20,0,0,0,0,0,38,2,0,9,0,5,0,0,0,0,1,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0
495,11427,0,0,0,19,0,1,0,0,0,0,179,0,0,0,25,0,0,0,12,0,0,0,0,6,0,0,0,11,0,0,0,0,0,19,0,4,0,0,0,11,11,2,0,13,0,0,0,0,0,17,2,1,11,0,10,0,0,0,0,1,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0
500,NA,0,0,0,15,0,2,0,1,1,0,144,0,0,0,19,0,0,0,17,0,1,0,0,3,0,0,0,17,0,0,0,0,0,23,0,5,0,0,0,2,20,2,1,27,0,0,0,0,0,43,2,6,11,0,9,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
505,NA,1,0,0,11,0,0,0,1,0,0,165,0,0,0,30,0,0,0,13,0,0,0,0,1,0,0,0,12,0,0,0,0,0,19,0,5,0,0,0,5,5,3,0,32,0,0,0,0,0,9,0,6,4,0,13,0,3,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,1
510,NA,0,0,0,12,0,3,0,0,0,0,106,0,0,0,24,0,0,0,13,1,0,3,0,1,0,0,0,10,0,0,0,1,1,24,0,1,0,0,0,0,1,0,0,14,0,0,0,0,0,8,0,1,3,0,5,0,8,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0
520,NA,0,0,0,6,0,1,0,2,1,0,72,0,0,0,14,0,0,0,18,0,1,1,0,2,0,0,0,16,0,0,0,0,0,13,0,13,0,0,0,6,7,0,0,13,0,0,0,0,0,8,0,1,10,0,2,0,3,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0
530,NA,0,0,0,7,0,0,0,0,0,0,27,0,0,0,7,0,0,0,12,0,0,0,0,1,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,3,1,2,0,7,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
535,NA,0,0,0,2,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,2,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
540,NA,0,0,0,0,0,0,0,4,0,0,13,0,0,0,9,0,0,0,15,0,3,0,0,1,0,0,0,8,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,6,0,0,0,0,0,2,1,0,4,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0
550,NA,0,0,0,5,0,2,1,4,4,0,8,1,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,16,0,0,0,1,0,21,0,20,0,0,0,4,1,11,1,1,0,0,0,0,0,10,2,2,28,0,5,0,6,0,0,6,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0
560,NA,0,0,0,4,0,2,0,5,4,0,1,0,0,1,1,0,0,0,6,0,2,0,0,1,0,0,0,3,0,0,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
570,NA,0,0,0,1,0,1,0,3,0,0,2,0,1,0,2,0,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,7,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1
580,NA,0,0,0,0,0,1,0,5,0,0,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
590,NA,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
600,NA,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
610,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0
620,NA,4,0,0,3,0,3,0,4,1,0,10,0,0,0,1,0,0,0,1,0,2,0,0,0,1,3,0,6,0,0,0,0,0,9,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,6,0,1,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
