"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea.dentata","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus.grandifolia","Fraxinus","Huperzia.lucidula","Huperzia.selago","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix.laricina","Liquidambar.styraciflua","Liriodendron.tulipifera","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Oenothera","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Quercus","Rubus","Rumex","Salix","Sanguisorba","Selaginella.selaginoides","Sparganium","Sphagnum","Thalictrum","Tilia.americana","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown..trilete.","Utricularia","Verbena"
590,6577,0,0,4,7,0,0,0,0,0,0,0,7,0,1,9,0,0,0,20,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,219,0,0,0,0,0,0,0,0,1,12,0,11,0,0,0
595,6642,0,0,1,6,0,0,0,0,1,0,10,12,0,5,0,0,0,0,16,6,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,10,0,0,0,8,0,0,0,0,0,0,246,0,0,1,0,0,0,0,0,2,23,0,5,0,0,0
600,6736,0,0,7,9,0,0,0,0,2,0,5,16,0,4,1,0,0,1,30,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,1,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,10,0,8,1,0,0
605,6858,0,0,4,10,2,0,0,0,1,0,7,14,0,2,1,0,0,2,26,12,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,7,0,0,0,3,0,0,209,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0
610,6981,0,9,0,6,0,0,0,0,2,2,10,9,0,0,8,0,0,0,3,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,2,0,3,0,0,3,2,234,1,0,2,0,0,0,0,0,1,4,0,7,0,0,0
615,7103,0,0,2,13,1,0,0,0,3,0,11,17,1,1,0,0,0,0,17,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,12,0,0,0,1,0,0,213,0,0,0,0,0,0,0,0,3,23,0,10,1,0,0
620,7225,0,0,12,9,0,0,0,0,2,0,2,10,0,1,3,0,0,0,16,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,2,0,1,0,0,244,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0
625,7348,0,0,1,5,0,0,0,0,3,0,12,6,0,0,0,0,0,0,7,8,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,18,0,0,1,13,0,2,0,1,0,0,274,0,0,0,0,0,0,0,0,1,25,0,8,1,0,0
630,7470,0,0,3,23,2,0,0,0,5,0,6,3,0,0,5,4,0,0,9,4,0,0,1,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,7,0,5,0,0,0,3,184,0,0,19,0,0,0,0,0,1,11,0,5,0,2,0
635,7593,0,0,9,19,0,0,0,0,5,0,11,4,0,0,0,0,0,0,13,16,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,1,10,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0
640,7715,0,0,1,19,1,0,0,0,4,0,9,4,0,0,1,0,0,0,22,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,2,0,1,0,0,208,0,0,0,0,0,0,0,0,0,2,0,10,1,0,0
645,7837,0,0,1,21,0,0,0,0,1,0,8,4,0,0,2,0,0,0,12,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,16,0,1,0,1,0,0,240,0,0,2,0,0,0,0,0,0,14,0,7,2,0,0
650,7960,0,2,0,8,0,0,0,0,1,0,5,7,0,0,10,0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,2,0,0,1,3,215,0,0,1,0,0,0,0,0,0,18,0,10,0,0,1
655,8082,0,0,3,13,0,0,0,0,2,0,4,2,0,0,5,0,0,0,8,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,1,0,0,0,0,221,0,0,0,0,0,0,0,0,1,12,0,9,0,0,0
660,8204,0,0,0,17,0,0,0,0,3,0,7,0,0,0,6,1,0,0,8,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,2,0,1,0,0,236,0,0,0,0,0,0,0,0,0,5,0,7,1,0,0
665,8327,0,0,2,11,0,0,0,0,2,0,4,2,0,0,5,0,0,0,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,17,0,1,0,2,0,0,232,0,0,0,0,0,0,0,0,1,10,0,5,0,0,0
670,8449,0,2,0,17,0,0,0,0,8,0,3,3,0,0,7,3,0,0,4,1,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,5,0,2,0,8,0,5,0,0,0,8,211,0,0,12,0,0,0,0,0,0,5,0,6,0,3,0
675,8572,0,0,2,14,0,0,0,0,6,0,11,1,0,0,2,4,0,0,7,16,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,8,0,0,0,25,0,6,0,1,0,0,197,0,0,2,0,0,0,0,0,2,5,0,5,0,0,0
680,8694,0,2,6,18,3,0,0,0,3,0,6,0,0,0,8,0,0,0,8,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,13,0,1,0,1,0,0,238,0,0,2,0,0,0,0,0,0,3,0,8,0,0,0
685,8816,0,0,0,17,1,0,0,0,3,0,6,2,0,0,13,1,0,0,3,3,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,1,26,0,4,0,1,0,0,233,0,0,1,0,0,0,0,0,1,5,0,5,0,0,0
690,8939,0,2,0,13,0,0,0,0,7,0,8,3,0,0,11,2,0,0,1,7,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,6,0,0,7,0,3,0,0,0,3,270,0,0,0,0,0,0,0,0,2,4,0,6,0,0,0
695,9061,0,0,2,16,1,0,0,0,6,0,8,0,0,0,8,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,39,0,2,0,0,0,0,217,0,0,1,0,0,0,0,0,3,5,0,4,3,0,0
700,9184,0,0,1,22,0,0,0,0,3,0,5,0,0,0,14,3,0,0,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,17,0,2,0,0,0,0,240,0,0,1,0,0,0,0,0,1,6,0,12,0,1,0
705,9306,0,0,5,19,0,0,0,0,5,0,8,0,0,1,12,1,0,0,6,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,53,0,4,0,3,0,0,219,0,0,1,0,0,0,0,0,0,14,0,8,0,0,0
710,9428,0,3,1,16,0,0,0,0,5,0,14,0,0,0,9,2,0,2,2,0,0,0,1,10,0,0,0,1,0,0,8,0,0,1,0,0,0,3,0,5,0,26,0,2,0,1,0,3,219,0,0,9,0,0,0,1,0,1,7,0,7,1,7,0
715,9551,0,0,0,17,0,0,0,0,2,0,6,0,0,1,0,0,0,0,2,9,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,41,0,3,0,0,0,0,256,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
720,9673,0,0,0,16,0,0,0,0,1,0,11,0,0,1,0,0,0,0,1,9,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,1,63,0,2,0,1,0,0,233,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0
725,9795,0,0,2,9,0,0,0,0,8,0,11,1,0,0,1,0,0,0,2,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,13,0,0,2,37,0,1,0,1,0,0,221,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0
730,9918,0,2,0,14,0,0,0,0,4,0,19,2,0,0,1,3,0,0,1,1,0,0,1,0,1,0,1,0,0,0,4,1,0,1,0,0,0,4,0,10,0,25,0,1,0,1,0,1,208,0,0,7,0,0,0,0,0,0,7,0,2,2,0,0
735,10040,0,0,2,8,0,0,0,0,4,0,8,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1,48,0,2,0,1,0,0,218,0,0,0,0,0,0,0,0,0,10,0,5,2,0,0
740,10163,0,0,3,18,0,0,0,0,5,0,8,0,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,14,0,1,1,67,0,0,0,1,0,0,198,0,0,0,0,0,0,0,0,1,10,0,4,1,0,0
745,10285,0,0,2,12,0,0,0,0,5,0,12,0,0,1,0,3,0,0,2,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,2,2,70,0,1,0,1,0,0,190,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0
750,10407,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,22,63,0,4,0,2,0,0,178,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0
755,10530,0,0,0,1,0,0,0,0,3,0,8,0,0,0,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15,107,0,1,0,1,0,0,136,0,0,0,0,0,0,0,0,0,24,0,6,0,0,0
760,10652,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,12,0,0,23,112,0,2,0,0,0,0,143,0,0,0,0,0,0,0,0,1,16,0,4,0,0,0
765,10775,0,0,3,1,0,0,0,0,2,0,7,0,0,0,2,0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,9,0,0,6,117,0,1,0,1,0,0,102,0,0,0,0,0,0,0,0,1,60,0,2,1,0,0
770,10897,0,0,1,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,16,154,0,0,0,1,1,0,108,0,0,0,0,0,0,0,0,0,27,0,1,1,0,0
775,10917,0,0,4,2,0,0,0,1,0,0,28,1,0,0,0,0,0,1,0,8,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,8,145,0,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,10,0,4,3,0,0
780,10937,3,0,7,5,0,0,0,0,1,0,27,1,1,0,1,0,0,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,23,232,0,1,0,1,0,0,134,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0
785,10957,1,0,6,4,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,24,193,0,1,0,1,0,0,74,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0
787.5,10967,0,0,8,14,0,0,0,0,0,0,70,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,15,0,0,7,107,0,0,0,0,0,0,104,0,0,1,0,0,0,1,0,1,17,0,4,1,0,0
790,11230,14,0,9,23,0,0,0,0,3,0,85,0,0,0,8,0,2,0,0,68,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,6,0,20,124,0,6,0,3,2,0,70,0,0,2,0,0,0,0,0,0,2,0,6,3,0,0
792.5,11493,4,0,1,8,0,0,0,0,2,0,30,0,0,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,3,1,0,1,162,0,2,0,2,0,0,57,0,0,0,0,0,0,0,0,0,14,0,2,1,0,0
795,11741,17,0,0,26,0,0,0,0,0,0,79,0,0,0,3,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,73,0,0,0,13,0,1,0,1,0,0,72,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0
797.5,11933,22,0,1,29,0,0,0,0,1,0,54,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,3,0,0,119,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
800,12125,45,0,0,93,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,6,4,0,1,28,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0
802.5,12317,37,0,0,78,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,97,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,12509,31,0,0,120,0,0,0,0,4,0,18,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,10,0,0,63,0,3,0,0,2,0,20,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
807.5,12702,37,0,0,74,1,0,0,0,1,0,21,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,17,0,2,154,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0
810,12894,34,0,0,72,1,0,0,0,2,0,9,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,15,0,0,140,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812.5,13086,45,0,1,56,0,0,0,1,3,0,11,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,22,13,0,0,199,0,1,0,1,0,0,27,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0
815,13327,37,0,0,31,0,0,0,0,0,0,16,0,0,0,0,0,0,2,3,12,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,35,10,0,0,145,0,9,0,0,0,0,57,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
817.5,13568,25,0,1,18,0,0,0,1,5,0,12,0,0,0,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,31,8,0,0,140,0,5,0,0,0,0,52,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0
820,13808,38,0,0,14,0,0,0,0,2,0,12,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,34,14,0,0,135,0,4,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.5,14049,47,0,0,9,0,0,1,1,1,0,15,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,13,0,0,137,0,2,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
825,14290,14,0,0,13,1,0,1,2,3,0,11,0,0,0,2,0,13,0,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,29,5,0,3,129,0,12,0,3,0,0,85,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0
827.5,14531,43,0,0,17,0,0,0,0,2,0,13,0,0,0,5,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,30,19,0,0,98,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,14772,59,0,0,11,1,0,0,0,3,0,9,0,0,0,0,0,0,2,3,4,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,30,35,0,0,98,0,3,0,3,0,0,32,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
832.5,15012,28,0,0,12,0,0,0,1,19,0,32,0,0,0,0,0,24,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,0,0,97,0,19,0,19,0,0,73,0,0,9,0,0,0,1,0,0,0,0,0,3,0,0
835,NA,22,0,0,15,0,0,0,2,3,0,10,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,8,0,0,62,0,1,0,0,1,0,32,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0
837.5,NA,11,0,0,27,0,0,0,1,4,0,15,0,0,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,17,0,0,137,0,5,0,5,0,0,32,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0
840,NA,26,0,0,46,0,0,0,3,10,0,3,0,0,0,0,0,8,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,5,0,0,161,0,4,0,0,2,0,23,0,0,20,0,0,0,0,1,0,0,0,0,1,0,0
845,NA,7,0,0,29,2,0,0,3,20,1,4,1,1,0,0,4,117,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,5,0,0,138,0,4,0,12,1,0,26,0,0,28,0,0,0,0,1,0,0,0,1,3,0,0
850,NA,73,0,0,14,0,0,0,3,4,0,3,0,2,0,0,0,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,198,0,7,0,2,0,0,19,0,0,5,0,1,0,0,1,0,0,0,1,1,0,0
860,NA,18,0,0,35,2,0,0,4,10,0,0,3,1,0,2,5,78,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,0,172,0,1,0,3,0,0,23,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0
870,NA,0,0,0,55,2,0,0,1,8,0,2,0,2,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,13,0,0,132,0,12,0,3,0,0,4,0,0,5,0,0,0,12,0,0,0,0,0,2,0,0
880,NA,0,0,0,66,1,0,0,6,12,0,8,0,4,0,0,0,198,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,72,0,11,0,4,0,0,8,0,0,13,0,0,0,10,0,0,0,0,0,1,0,0
890,NA,0,0,0,40,2,0,0,5,12,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,15,0,1,8,0,4,0,0,17,0,0,0,1,8,0,0,0,0,1,0,0
900,NA,2,0,0,9,0,0,0,0,4,0,13,4,0,0,0,1,93,4,2,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,2,2,0,0,59,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0
910,NA,0,0,2,17,0,0,0,8,8,0,14,0,0,1,1,1,55,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,10,0,17,0,1,0,0,13,0,0,28,0,0,0,0,8,0,0,0,2,2,0,0
920,NA,21,0,0,17,0,0,0,9,8,0,7,0,0,0,1,4,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,201,0,1,0,2,0,0,14,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0
930,NA,6,0,1,8,1,0,0,10,10,1,2,0,0,0,0,1,89,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,110,0,2,0,0,0,0,9,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0
940,NA,2,0,0,4,1,0,0,3,1,0,2,0,0,0,0,1,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,161,0,0,0,2,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0
950,NA,0,0,0,2,0,0,0,0,1,0,5,0,1,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,2,0,0,3,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0
960,NA,0,0,0,5,0,0,0,0,1,0,1,0,2,0,0,4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,13,0,3,0,7,8,2,2,0,0,3,0,0,0,7,0,0,1,0,1,1,0,0
970,NA,2,0,0,13,0,0,0,10,12,0,5,0,0,0,1,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,136,0,10,0,3,1,0,8,0,0,24,0,0,0,10,5,0,0,0,2,0,0,0
980,NA,4,0,0,7,2,0,0,0,2,0,1,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,53,0,5,0,3,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0
990,NA,0,0,0,4,0,0,0,1,10,0,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,NA,4,0,0,4,0,0,0,2,3,0,2,0,0,0,0,2,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,85,0,5,0,2,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1010,NA,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
1020,NA,0,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,NA,3,0,0,5,0,0,0,1,1,0,6,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,37,0,4,0,1,1,0,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
1040,NA,0,0,0,3,0,0,0,0,2,0,3,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,NA,0,0,0,4,0,0,1,5,10,0,13,0,0,0,0,1,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,41,0,13,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1060,NA,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1070,NA,0,0,0,6,0,0,0,4,2,0,3,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,13,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0
