"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.undiff.","Betula","Carya","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Amaranthaceae","Poaceae","Plantago","Polygonum","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Artemisia","Ilex","Tilia.americana","Salix","Asteraceae.subf..Cichorioideae","Larix.laricina","Thalictrum","Liquidambar.styraciflua","Corylus","Populus","Abies","Apiaceae","Sanguisorba"
815,12226,372,0,1,74,0,0,0,15,2,0,12,6,0,51,24,0,3,4,148,0,6,17,0,1,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,2,0,0
820,12365,349,0,0,76,0,0,0,18,0,1,10,31,0,75,16,0,3,3,80,0,9,11,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,12,0,0
825,12503,335,0,0,77,1,0,0,22,1,0,11,22,0,69,10,0,3,2,92,0,8,4,0,1,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,5,0,0
830,12642,386,0,0,58,1,1,0,27,1,2,22,15,0,95,18,0,1,2,110,0,16,5,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,3,0,0
835,13109,322,0,0,31,0,0,0,25,0,0,9,10,0,106,33,0,3,3,68,0,15,2,0,4,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,5,0,0
840,13576,379,0,1,21,2,0,0,47,2,0,24,14,0,128,41,0,11,1,41,0,31,3,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,3,0,0
845,14043,311,0,1,25,1,0,0,17,2,0,22,21,0,81,42,0,7,0,42,0,29,6,1,3,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,2,0,0
850,14510,323,0,0,45,1,0,0,17,1,0,40,26,0,91,36,0,7,0,9,0,24,4,0,10,0,0,0,0,0,4,0,0,5,0,1,0,0,0,2,0,0,0
855,NA,347,0,0,52,0,0,0,58,5,0,21,32,0,60,34,0,15,1,10,0,17,1,0,24,0,0,0,0,1,2,0,0,11,0,0,1,0,0,0,2,0,0
860,NA,368,0,0,43,1,0,0,81,5,0,10,17,0,73,19,0,14,0,39,0,5,4,0,13,0,0,0,0,0,6,0,0,29,0,0,7,0,0,0,2,0,0
865,NA,359,0,0,36,0,0,0,91,6,0,4,11,0,75,14,0,7,0,55,0,3,2,1,12,0,0,0,0,0,7,0,0,25,0,2,6,0,0,1,0,1,0
870,NA,442,0,0,59,0,0,0,133,5,0,6,5,0,57,17,0,4,0,67,0,4,2,1,31,0,0,0,0,0,6,0,0,31,0,0,12,0,0,0,0,2,0
875,NA,433,0,0,18,1,1,2,131,4,0,6,8,0,35,9,0,11,0,72,0,1,6,0,34,0,0,0,0,0,10,0,0,75,0,0,7,0,1,0,1,0,0
880,NA,468,0,0,23,0,0,0,158,3,0,3,16,0,65,10,0,11,1,58,0,0,10,0,28,0,0,0,0,0,13,0,0,55,0,0,14,0,0,0,0,0,0
885,NA,469,0,0,24,0,1,0,163,3,0,1,6,0,60,7,0,10,0,72,0,0,8,0,28,0,0,0,0,0,12,0,0,52,0,0,20,0,0,0,0,2,0
890,NA,474,0,0,12,0,1,0,154,1,0,3,9,0,85,6,0,33,1,58,0,0,5,0,35,0,0,0,0,0,14,0,0,42,0,0,14,0,0,0,1,0,0
895,NA,503,0,0,7,0,2,0,201,3,0,2,10,1,66,11,0,20,0,76,0,1,1,0,30,0,0,0,0,0,19,0,0,30,0,0,22,0,0,0,1,0,0
900,NA,465,0,0,15,0,3,0,161,2,0,2,10,0,70,6,0,31,0,65,0,0,5,0,36,0,0,0,0,0,12,0,0,20,0,0,23,0,0,0,0,4,0
910,NA,506,0,0,15,0,2,0,198,4,0,5,7,0,72,7,0,23,1,55,0,0,7,0,43,0,0,0,0,0,25,0,0,19,0,0,21,0,1,0,0,0,1
920,NA,238,0,0,7,0,9,4,73,0,0,0,1,0,45,3,0,24,2,43,0,0,0,0,15,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,1,0
930,NA,186,0,0,4,0,3,1,67,0,0,0,1,0,72,1,0,14,0,8,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
940,NA,308,0,0,8,0,4,1,89,0,0,0,2,0,117,5,0,27,0,24,0,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
950,NA,290,0,0,7,0,3,3,77,0,0,0,2,0,59,4,0,67,0,35,0,0,0,0,15,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,2,0
960,NA,314,0,0,4,0,2,5,79,1,0,0,1,0,143,1,0,39,0,13,0,0,0,0,12,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0
970,NA,316,0,0,3,0,2,0,87,0,0,0,1,0,147,0,0,40,0,9,0,0,0,0,14,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0
980,NA,322,0,0,6,0,0,1,74,0,0,0,2,0,135,1,0,48,0,23,0,0,0,0,13,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0
990,NA,260,0,0,15,0,3,3,65,0,0,0,3,0,39,3,0,66,0,19,0,0,0,0,23,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0
1000,NA,316,0,0,2,0,3,2,110,0,0,0,1,0,68,4,0,69,0,19,0,0,0,0,23,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0
1010,NA,344,0,0,7,0,6,3,95,0,0,0,1,0,80,5,0,52,0,40,0,0,0,0,18,0,0,0,0,0,13,0,0,24,0,0,0,0,0,0,0,0,0
