"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Elaeagnus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Morus","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sambucus","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Dryas","Plantago","Poaceae","Polygonum","Rosaceae.undiff.","Rumex.Oxyria.digyna","Saxifraga","Thalictrum","Urtica","Xanthium"
178,5520,0,0,0,0.0760869565217391,0.00543478260869565,0.0597826086956522,0.0144927536231884,0,0,0,0,0,0,0,0.148550724637681,0.0597826086956522,0.0144927536231884,0.0452898550724638,0.0307971014492754,0.00905797101449275,0.0960144927536232,0,0,0,0,0.0398550724637681,0,0,0.0181159420289855,0.0181159420289855,0.0036231884057971,0,0.0942028985507246,0.00181159420289855,0,0,0,0.0271739130434783,0.106884057971014,0.115942028985507,0,0,0,0,0.00543478260869565,0,0,0.00181159420289855,0.00181159420289855,0,0,0.0036231884057971,0,0,0,0,0.00181159420289855,0,0
180,5604,0,0,0,0.0750605326876513,0.00484261501210654,0.0605326876513317,0.00484261501210654,0.00242130750605327,0,0.00242130750605327,0,0,0,0,0.239709443099274,0.0556900726392252,0,0.0556900726392252,0.00726392251815981,0,0.0750605326876513,0,0,0,0,0.0387409200968523,0,0,0.0145278450363196,0.0145278450363196,0,0.00484261501210654,0.0677966101694915,0,0,0,0,0.0338983050847458,0.116222760290557,0.123486682808717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242130750605327,0,0
190,6028,0,0,0.00479616306954436,0.0695443645083933,0.00239808153477218,0.0383693045563549,0.0311750599520384,0,0,0,0,0.00239808153477218,0,0,0.127098321342926,0.0431654676258993,0.00479616306954436,0.0383693045563549,0.0191846522781775,0.00239808153477218,0.107913669064748,0,0,0,0,0.0311750599520384,0,0,0.0191846522781775,0.0191846522781775,0,0.00239808153477218,0.0839328537170264,0.00239808153477218,0,0,0,0.0383693045563549,0.155875299760192,0.15347721822542,0,0.00239808153477218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,6459,0,0,0.0027027027027027,0.0972972972972973,0.0027027027027027,0.0297297297297297,0.00810810810810811,0,0,0,0,0,0,0,0.32972972972973,0.0432432432432432,0.00810810810810811,0.0351351351351351,0.0135135135135135,0.00810810810810811,0.0378378378378378,0.0027027027027027,0,0,0,0.0459459459459459,0,0,0.0135135135135135,0.0135135135135135,0,0,0.116216216216216,0,0,0,0,0.0135135135135135,0.0783783783783784,0.0918918918918919,0,0,0,0,0,0.0027027027027027,0,0,0.0027027027027027,0,0,0.0027027027027027,0,0,0,0,0,0,0
210,6894,0,0,0.00491400491400491,0.0835380835380835,0.00491400491400491,0.0515970515970516,0.0147420147420147,0,0,0,0,0,0,0,0.201474201474201,0.0515970515970516,0.00245700245700246,0.0491400491400491,0.00737100737100737,0,0.0491400491400491,0.00245700245700246,0,0,0,0.0638820638820639,0,0,0.0393120393120393,0.0393120393120393,0,0.00491400491400491,0.103194103194103,0,0,0,0,0.0245700245700246,0.0442260442260442,0.154791154791155,0,0.00245700245700246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,7329,0,0,0,0.0739030023094688,0.0023094688221709,0.0277136258660508,0.0138568129330254,0,0,0,0,0,0,0,0.272517321016166,0.0785219399538106,0.0092378752886836,0.069284064665127,0.0092378752886836,0,0.108545034642032,0.0023094688221709,0,0,0,0.046189376443418,0,0,0.0254041570438799,0.0254041570438799,0,0.0069284064665127,0.0739030023094688,0,0,0,0,0.0092378752886836,0.0531177829099307,0.0900692840646651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023094688221709,0,0
230,7758,0,0,0.00213675213675214,0.079059829059829,0,0.032051282051282,0.00854700854700855,0,0,0,0,0.00641025641025641,0,0,0.230769230769231,0.0598290598290598,0.00213675213675214,0.0576923076923077,0,0,0.0876068376068376,0,0,0,0,0.0769230769230769,0,0,0.0299145299145299,0.0299145299145299,0,0.00854700854700855,0.0854700854700855,0.00427350427350427,0,0,0,0.0170940170940171,0.0598290598290598,0.111111111111111,0,0.00427350427350427,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8180,0,0,0.00880281690140845,0.0704225352112676,0.00176056338028169,0.0352112676056338,0.00352112676056338,0,0.00352112676056338,0,0,0.00704225352112676,0,0,0.174295774647887,0.0422535211267606,0.00528169014084507,0.0369718309859155,0.00176056338028169,0,0.0757042253521127,0.00176056338028169,0,0,0,0.107394366197183,0,0,0.0598591549295775,0.0598591549295775,0,0.00352112676056338,0.121478873239437,0.00176056338028169,0,0,0,0.0140845070422535,0.0369718309859155,0.112676056338028,0,0.00528169014084507,0,0.00176056338028169,0,0,0,0.00352112676056338,0.00176056338028169,0,0,0.00176056338028169,0,0,0,0,0,0,0
250,8588,0,0,0.0019047619047619,0.0647619047619048,0.0019047619047619,0.0285714285714286,0.00952380952380952,0,0,0,0,0.0019047619047619,0,0,0.0933333333333333,0.0457142857142857,0.00761904761904762,0.0380952380952381,0.0019047619047619,0,0.099047619047619,0,0,0.0019047619047619,0,0.0666666666666667,0.0019047619047619,0,0.08,0.08,0,0.00571428571428571,0.144761904761905,0.0019047619047619,0,0,0,0.0133333333333333,0.08,0.125714285714286,0,0,0,0.0019047619047619,0,0,0,0.0019047619047619,0,0,0,0,0,0,0,0,0,0,0
260,8979,0.00152671755725191,0,0.00305343511450382,0.067175572519084,0.00305343511450382,0.0717557251908397,0.00610687022900763,0,0,0,0,0.00763358778625954,0,0,0.0366412213740458,0.00610687022900763,0,0.00610687022900763,0,0.00152671755725191,0.0305343511450382,0.00610687022900763,0,0,0,0.0961832061068702,0.00305343511450382,0,0.23206106870229,0.23206106870229,0,0.00916030534351145,0.114503816793893,0.00305343511450382,0,0,0,0.0198473282442748,0.00152671755725191,0.0351145038167939,0,0.00458015267175573,0,0,0,0,0,0,0.00152671755725191,0,0,0,0,0,0,0,0,0,0
270,9350,0.0055452865064695,0,0.00369685767097967,0.0517560073937153,0.00739371534195933,0.0794824399260629,0.0055452865064695,0.00184842883548983,0,0,0.00184842883548983,0.011090573012939,0,0,0.0055452865064695,0.0314232902033272,0.00369685767097967,0.0277264325323475,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0,0.0609981515711645,0.0129390018484288,0.022181146025878,0.234750462107209,0.256931608133087,0,0.0055452865064695,0.0979667282809612,0,0,0,0,0.00369685767097967,0.00739371534195933,0.0462107208872458,0,0.00184842883548983,0,0,0,0,0,0,0.00184842883548983,0,0,0,0,0,0,0,0.00369685767097967,0,0
280,9695,0.00172117039586919,0,0,0.0103270223752151,0.00172117039586919,0.0327022375215146,0.00344234079173838,0,0,0,0,0.00516351118760757,0,0,0.00172117039586919,0.0154905335628227,0.00172117039586919,0.0137693631669535,0,0,0.00172117039586919,0.00344234079173838,0,0,0,0.0292598967297762,0.00344234079173838,0.110154905335628,0.265060240963855,0.376936316695353,0,0.00172117039586919,0.0843373493975904,0.00344234079173838,0,0.00344234079173838,0,0.00172117039586919,0.00344234079173838,0.0137693631669535,0.00172117039586919,0.00172117039586919,0,0,0,0,0,0.00344234079173838,0.00172117039586919,0,0,0.00172117039586919,0,0,0,0,0,0,0
290,10011,0,0,0,0,0,0.0400696864111498,0.00522648083623693,0,0,0,0,0.00348432055749129,0,0,0.00174216027874564,0.00871080139372822,0.00174216027874564,0.00696864111498258,0.00174216027874564,0,0.00174216027874564,0.00522648083623693,0,0,0,0.0331010452961672,0.00174216027874564,0.0993031358885017,0.297909407665505,0.398954703832753,0,0.00696864111498258,0.0522648083623693,0.00174216027874564,0,0,0,0,0.00174216027874564,0.0226480836236934,0,0.00348432055749129,0,0,0,0,0,0.00174216027874564,0,0,0,0.00174216027874564,0,0,0,0,0,0,0
300,10293,0.00174216027874564,0,0.00871080139372822,0.0383275261324042,0.00174216027874564,0.0714285714285714,0.00174216027874564,0,0,0,0,0.0121951219512195,0,0.00174216027874564,0.00348432055749129,0.0226480836236934,0,0.0226480836236934,0,0,0.0104529616724739,0.00174216027874564,0,0.00348432055749129,0,0.0749128919860627,0.0313588850174216,0.120209059233449,0.170731707317073,0.290940766550523,0,0.00522648083623693,0.0679442508710801,0.00522648083623693,0,0,0,0,0.00348432055749129,0.0209059233449477,0,0.00174216027874564,0,0,0,0,0,0,0.00348432055749129,0,0,0,0,0,0,0,0,0.00174216027874564,0
310,10539,0.00232018561484919,0,0,0.00232018561484919,0,0.0208816705336427,0.00116009280742459,0,0,0,0,0,0,0,0,0.00464037122969838,0,0.00464037122969838,0,0,0.00116009280742459,0.00464037122969838,0,0,0,0.00580046403712297,0.00580046403712297,0.344547563805104,0.0997679814385151,0.444315545243619,0,0.00116009280742459,0.04292343387471,0,0,0,0,0,0,0.00812064965197216,0,0.00116009280742459,0,0.00116009280742459,0,0,0,0.00232018561484919,0,0,0,0.00116009280742459,0,0,0,0,0,0,0
320,10742,0.00229357798165138,0,0,0.0206422018348624,0.00229357798165138,0.0653669724770642,0.00458715596330275,0,0.00458715596330275,0,0,0.00229357798165138,0,0,0.00344036697247706,0.0252293577981651,0.00229357798165138,0.0229357798165138,0,0,0.0103211009174312,0.00344036697247706,0,0,0,0.0344036697247706,0.0091743119266055,0.100917431192661,0.214449541284404,0.315366972477064,0,0.0126146788990826,0.084862385321101,0.00114678899082569,0,0.00114678899082569,0,0.00114678899082569,0.00114678899082569,0.0401376146788991,0,0,0,0.00344036697247706,0.00229357798165138,0,0,0,0.00344036697247706,0,0,0.00458715596330275,0,0,0,0,0,0,0
330,10900,0.00491803278688525,0,0,0.0131147540983607,0.00163934426229508,0.0819672131147541,0.00655737704918033,0,0,0,0,0,0,0,0.00491803278688525,0.0295081967213115,0,0.0295081967213115,0.00327868852459016,0,0.00655737704918033,0.0098360655737705,0,0,0,0.0557377049180328,0.00655737704918033,0.181967213114754,0.127868852459016,0.30983606557377,0,0.00819672131147541,0.0491803278688525,0.00655737704918033,0,0,0,0,0.00163934426229508,0.0491803278688525,0,0,0,0.00491803278688525,0,0,0,0,0.00655737704918033,0,0,0,0,0,0,0,0,0,0
335,10961,0.00477099236641221,0,0,0.00190839694656489,0.00190839694656489,0.125954198473282,0.00477099236641221,0,0,0,0,0,0,0.000954198473282443,0,0.00954198473282443,0.000954198473282443,0.00858778625954199,0.000954198473282443,0,0.00381679389312977,0.00763358778625954,0,0,0,0.025763358778626,0.00858778625954199,0.252862595419847,0.0877862595419847,0.340648854961832,0,0.00190839694656489,0.0696564885496183,0,0,0,0,0,0.000954198473282443,0.0381679389312977,0,0.000954198473282443,0,0,0,0,0,0.000954198473282443,0,0,0,0,0,0,0,0,0,0,0
339,11000,0.00353356890459364,0,0,0.00176678445229682,0,0.136042402826855,0.0106007067137809,0,0,0,0,0.00176678445229682,0,0,0.00176678445229682,0.0159010600706714,0.00353356890459364,0.0123674911660777,0.00353356890459364,0,0.00176678445229682,0.00706713780918728,0,0,0,0.0300353356890459,0.0229681978798587,0.316254416961131,0,0.316254416961131,0,0,0.0653710247349823,0.00530035335689046,0,0,0,0,0.00353356890459364,0.0318021201413428,0,0.00353356890459364,0,0,0,0,0,0.00176678445229682,0.00176678445229682,0,0,0.00176678445229682,0,0,0,0,0,0,0
340,11009,0.00583090379008746,0,0.00583090379008746,0.021865889212828,0.00145772594752187,0.196793002915452,0.0043731778425656,0,0,0,0,0.0043731778425656,0,0,0,0.0379008746355685,0.00291545189504373,0.0349854227405248,0.0043731778425656,0,0.0233236151603499,0.00728862973760933,0,0,0,0.0291545189504373,0.0204081632653061,0.043731778425656,0.170553935860058,0.26530612244898,0,0.0116618075801749,0.0583090379008746,0.00583090379008746,0,0,0,0,0.00145772594752187,0.0306122448979592,0,0.0043731778425656,0,0,0.00145772594752187,0,0,0,0.00145772594752187,0,0,0.0043731778425656,0,0,0,0,0,0,0
