"sample.depths","sample.ages","upland.sum","Betula","Carya","Ericaceae","Ilex","Juglans.cinerea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Myricaceae","Poaceae","Plantago","Castanea.dentata","Tsuga.canadensis","Fagus.grandifolia","Acer.rubrum","Ostrya.Carpinus","Salix","Populus","Amaranthaceae","Larix.laricina","Liquidambar.styraciflua","Liriodendron.tulipifera","Acer.undiff.","Juglans.nigra","Corylus","Nyssa","Picea","Tilia.americana","Cupressaceae","Artemisia","Caryophyllaceae","Rubus","Lamiaceae","Apiaceae","Oenothera","Cyperaceae","Polygonum","Asteraceae.subf..Cichorioideae","Verbena","Abies","Thalictrum","Sanguisorba"
730,9918,318,19,2,0,1,1,10,0,25,208,0,4,2,14,0,1,4,1,0,0,7,1,2,4,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
735,10040,327,8,0,1,1,0,2,1,48,218,0,4,5,8,0,6,0,2,0,0,10,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,10163,342,8,0,0,0,0,1,1,67,198,0,5,4,18,0,7,2,0,0,1,10,0,0,14,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
745,10285,341,12,0,0,0,0,2,2,70,190,0,5,4,12,0,14,4,1,0,1,6,2,0,11,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
750,10407,328,16,0,0,0,0,0,22,63,178,0,0,1,8,0,3,2,4,0,0,22,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
755,10530,328,8,0,0,0,0,0,15,107,136,0,3,6,1,0,11,0,1,0,0,24,3,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,10652,326,7,0,0,0,0,0,23,112,143,0,0,4,1,0,1,3,2,0,0,16,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
765,10775,328,7,0,0,0,0,0,6,117,102,0,2,2,1,0,9,3,1,0,0,60,1,0,9,0,0,0,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
770,10897,336,14,0,0,0,0,0,16,154,108,0,0,1,2,0,1,1,0,0,0,27,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,10917,335,28,1,1,1,1,0,8,145,105,0,0,4,2,0,8,0,0,0,0,10,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
780,10937,463,27,1,2,1,1,0,23,232,134,0,1,2,5,0,4,0,1,0,0,5,1,0,9,0,0,0,0,0,0,7,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
785,10957,349,27,0,0,0,0,0,24,193,74,0,5,2,4,0,2,1,1,0,0,4,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
787.5,10967,387,70,0,2,0,0,0,7,107,104,0,0,4,14,0,5,32,0,0,0,17,0,0,15,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,11230,477,85,0,0,0,0,0,20,124,70,0,3,6,23,0,68,7,6,0,0,2,0,0,20,2,2,0,0,0,0,9,0,8,0,6,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0
792.5,11493,310,30,0,3,0,2,0,1,162,57,0,2,2,8,0,4,14,2,0,0,14,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
795,11741,318,79,0,0,1,0,0,0,13,72,0,0,7,26,0,12,12,1,0,0,2,0,0,73,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
797.5,11933,288,54,0,0,0,0,0,0,119,22,0,1,0,29,0,5,17,0,0,0,13,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
800,12125,308,61,0,0,0,0,0,1,28,30,0,0,2,93,0,5,25,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
802.5,12317,284,38,0,0,0,0,0,0,97,4,0,0,0,78,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
805,12509,302,18,0,0,0,0,0,0,63,20,0,4,1,120,0,9,11,3,0,0,3,0,0,7,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
807.5,12702,337,21,0,1,0,0,0,2,154,9,0,1,1,74,0,2,4,1,0,0,7,0,0,4,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
810,12894,313,9,0,0,0,0,0,0,140,19,0,2,0,72,0,5,6,2,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
812.5,13086,394,11,0,1,0,0,0,0,199,27,0,3,1,56,0,7,4,1,0,0,0,0,0,22,2,0,0,0,0,0,1,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,45,0,0
815,13327,367,16,0,2,0,0,0,0,145,57,0,0,1,31,0,12,7,9,0,0,0,3,0,35,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
817.5,13568,322,12,0,3,0,0,0,0,140,52,0,5,1,18,0,8,9,5,0,0,0,1,0,31,2,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0
820,13808,321,12,0,0,0,0,0,0,135,53,0,2,0,14,0,7,7,4,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
822.5,14049,296,15,1,0,0,0,0,0,137,37,0,1,1,9,0,6,3,2,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,0,47,0,0
825,14290,352,11,0,0,0,0,0,3,129,85,0,3,0,13,0,17,9,12,0,0,0,0,0,29,3,0,1,0,0,0,0,0,2,0,5,0,0,2,0,0,0,1,0,13,0,0,0,14,0,0
827.5,14531,267,13,0,1,0,0,0,0,98,0,0,2,0,17,0,32,4,1,0,0,0,0,0,30,0,2,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
830,14772,297,9,0,2,1,0,0,0,98,32,0,3,1,11,0,4,3,3,0,0,0,3,0,30,1,0,1,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
832.5,15012,382,32,0,0,0,0,0,0,97,73,0,19,0,12,0,20,0,19,0,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0,24,0,0,0,28,0,0
835,NA,183,10,1,2,0,0,0,0,62,32,0,3,1,15,0,1,2,1,0,0,0,0,0,15,5,1,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0
837.5,NA,345,15,0,0,0,0,0,0,137,32,0,4,0,27,0,0,1,5,0,1,0,0,0,3,13,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,78,0,0,0,11,0,0
840,NA,328,3,0,3,0,0,0,0,161,23,0,10,0,46,0,1,5,4,0,0,0,0,0,7,20,2,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,8,0,0,0,26,1,0
845,NA,424,4,1,8,0,0,0,0,138,26,0,20,1,29,0,0,8,4,0,0,0,0,0,15,28,1,2,0,0,0,0,0,0,0,5,0,4,3,1,0,0,0,0,117,0,1,0,7,1,0
850,NA,406,3,0,3,0,0,0,0,198,19,0,4,1,14,0,0,0,7,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,8,0,0,3,2,0,0,0,0,62,0,0,0,73,1,0
860,NA,383,0,3,0,0,0,0,0,172,23,0,10,0,35,0,0,1,1,0,0,0,0,0,3,17,0,2,0,0,0,0,0,2,0,6,0,5,4,1,0,0,0,0,78,0,0,0,18,2,0
870,NA,426,2,0,0,0,0,0,0,132,4,0,8,0,55,0,0,4,12,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,13,0,0,1,2,0,0,0,0,184,0,0,0,0,0,0
880,NA,413,8,0,3,0,0,0,0,72,8,0,12,0,66,0,1,0,11,0,0,0,0,0,4,13,0,1,0,0,0,0,0,0,0,6,0,0,6,4,0,0,0,0,198,0,0,0,0,0,0
890,NA,126,3,0,0,0,0,0,0,3,4,0,12,0,40,0,0,7,15,0,0,0,0,0,0,17,8,2,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,8,0
900,NA,233,13,4,4,0,4,0,0,59,12,0,4,0,9,0,0,9,0,0,0,9,2,0,2,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,93,0,0,0,2,0,0
910,NA,196,14,0,0,0,0,0,1,10,13,0,8,2,17,0,3,2,17,0,1,0,0,0,5,28,0,0,0,0,0,2,0,1,0,0,0,1,8,0,0,0,0,0,55,0,0,0,0,8,0
920,NA,388,7,0,2,0,0,0,0,201,14,0,8,0,17,0,0,0,1,0,0,1,0,0,1,11,0,0,0,0,0,0,0,1,0,3,0,4,9,0,0,0,0,0,87,0,0,0,21,0,0
930,NA,262,2,0,1,0,0,0,0,110,9,0,10,0,8,0,0,1,2,0,0,1,0,0,1,6,0,1,1,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,89,0,1,0,6,0,1
940,NA,249,2,0,5,0,0,0,0,161,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,59,0,0,0,2,0,0
950,NA,94,5,0,0,0,0,0,0,12,3,0,1,0,2,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,0,0,0,0,0,0
960,NA,106,1,0,0,0,0,0,0,13,2,0,1,1,5,0,0,1,3,0,0,1,0,0,0,3,8,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,59,0,0,0,0,0,0
970,NA,504,5,0,0,0,0,0,0,136,8,0,12,2,13,0,0,2,10,0,0,0,0,0,0,24,1,0,0,0,0,0,0,1,0,11,0,0,10,0,0,0,0,0,262,0,0,0,2,5,0
980,NA,148,1,0,0,0,0,0,0,53,0,0,2,0,7,0,0,0,5,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,63,0,0,0,4,1,0
990,NA,65,7,0,0,0,0,0,0,17,1,0,10,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0
1000,NA,148,2,0,3,0,0,0,0,85,11,0,3,0,4,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,21,0,0,0,4,0,0
1010,NA,33,1,0,0,0,0,0,0,10,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
1020,NA,30,1,0,0,0,0,0,0,10,0,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0
1030,NA,96,6,0,0,0,0,0,0,37,6,0,1,0,5,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,25,0,0,0,3,0,0
1040,NA,32,3,0,0,0,0,0,0,4,0,0,2,0,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
1050,NA,198,13,0,4,0,0,0,0,41,3,0,10,0,4,0,0,0,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,1,5,0,0,0,1,0,96,0,0,0,0,0,0
1060,NA,45,0,0,0,0,0,0,0,14,1,0,2,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,17,0,0,0,0,0,0
1070,NA,100,3,0,0,0,0,0,0,16,1,0,2,0,6,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,48,0,0,0,0,1,0
