"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Anacardiaceae.type.undiff.","Apiaceae.undiff.","Apocynaceae","Araliaceae","Arecaceae.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Boraginaceae","Brasenia.schreberi","Brassicaceae","Bromeliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","cf..Ribes","cf..Sapindaceae","Chamaecrista","Citrus","Combretaceae.Melastomataceae","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Cyrilla.racemiflora","Dalea","Dryopteris.type","Ephedra","Ericales.undiff.","Fabaceae.undiff.","Fagus","Fraxinus","Gomphrena.type","Gordonia","Hydrocotyle.type","Ilex","Indeterminable","Isoëtes","Itea","Iva.frutescens.type","Iva.xanthifolia","Juglans.nigra","Lamiaceae","Lechea","Ledum.type","Liliaceae","Liquidambar","Lycopodiaceae.undiff.","Malvaceae","Meliaceae.Sapotaceae","Moraceae","Myrica","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmanthus","Osmunda.cinnamomea","Ostrya.Carpinus","Parthenocissus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Planera.aquatica","Platanus","Poaceae.undiff.","Polygonella.fimbriata.P..myriophylla","Polygonella.polygama.type","Polygonum.bistorta.type","Polygonum.persicaria.type","Polypodium.type","Pontederia","Populus","Potamogetonaceae","Primulaceae","Pseudolycopodiella.carolinianum","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Secale.type","Selaginella","Senecio","Serenoa","Sparganium.type","Sphagnum","Symplocos","Taxodium","Thalictrum","Tilia","Tillandsia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..verrucate.","Urticaceae","Utricularia","Vitis","Xanthium.type","Zanthoxylum","Zea.mays"
653,3058,0,0,0,1,0,1,0,0,0,0,0,1,0,9,0,1,0,0,0,0,19,0,0,0,1,0,0,2,0,1,0,0,0,3,0,0,1,0,2,0,4,2,0,0,0,6,3,0,1,0,0,0,0,0,0,0,7,0,0,0,0,64,2,0,0,0,6,0,0,0,7,0,390,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,125,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1,3,1,0,0,0,1,0,0,0
673,3478,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,1,0,1,1,0,25,0,0,0,7,0,0,1,0,0,0,1,0,1,0,0,3,0,3,2,5,1,0,0,0,10,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,57,0,0,0,0,15,1,0,0,9,0,644,0,0,0,0,25,0,0,0,5,2,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,23,0,0,0,0,4,2,0,0,0,0,0,0,0
693,3899,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,10,0,1,0,7,0,0,1,0,1,0,0,0,2,0,1,0,0,2,0,2,0,0,0,0,17,3,0,2,0,0,0,0,0,0,0,12,0,0,0,0,47,1,0,0,0,5,0,0,0,4,0,364,0,0,0,1,24,0,0,0,2,0,1,2,0,0,0,0,127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2,4,0,0,0,0,0,0,0
713,4319,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,0,1,25,0,0,0,6,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,4,0,0,0,2,3,0,3,0,0,0,0,0,0,0,4,3,0,0,1,34,1,0,0,0,8,0,0,0,1,0,497,0,0,0,1,26,0,0,0,1,0,1,1,1,0,0,0,96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4,5,0,0,0,0,0,0,0
723,4529,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,1,0,1,0,0,21,0,0,0,4,0,0,0,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,1,6,0,0,0,0,57,4,0,0,1,5,0,0,0,4,0,462,0,0,0,0,30,0,0,0,2,0,1,0,0,0,0,2,123,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,13,0,0,0,0,0,3,0,0,0,1,0,0,0
733,4740,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,22,0,0,0,6,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,43,3,1,0,5,1,1,0,1,2,0,398,1,0,0,1,26,0,0,0,4,0,1,0,0,1,0,0,135,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,9,0,0,0,0,3,1,0,0,0,0,0,0,0
753,5160,0,0,0,1,2,1,0,0,0,0,0,0,0,26,0,0,0,4,0,0,19,0,1,0,5,0,0,1,0,0,0,0,1,9,0,0,0,0,0,0,4,3,1,0,3,0,4,0,4,0,0,0,0,2,0,0,4,0,0,0,1,41,2,0,2,4,7,0,0,1,3,0,462,0,0,0,0,22,0,0,0,1,0,2,0,0,0,0,0,164,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,6,0,0,0,2,0,0,0
773,5580,1,0,0,0,0,0,2,0,1,1,0,0,0,25,0,0,0,0,0,0,21,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,2,0,1,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,9,0,0,0,0,46,2,0,0,2,12,2,0,3,8,0,468,0,0,0,0,25,0,0,0,3,0,1,0,1,0,1,1,144,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,4,5,0,1,0,3,0,0,0
793,6001,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,3,0,7,0,1,16,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,2,0,0,7,2,0,0,0,3,0,319,0,0,0,0,24,0,0,0,0,1,0,1,0,0,0,1,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,2,0,0,0,0,0,0,0
813,6421,0,0,0,0,1,1,2,0,0,0,0,0,0,107,0,1,0,5,0,0,21,0,2,0,0,0,0,0,0,1,0,0,0,39,0,0,1,0,1,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,36,5,0,0,11,6,0,0,0,2,0,430,0,0,0,1,50,0,0,0,2,0,0,0,0,0,0,0,168,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,0,0,1,0,0,0
833,6842,0,0,0,0,0,2,0,0,0,0,0,0,0,70,0,0,0,1,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,23,1,1,0,9,1,0,0,0,2,0,293,1,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,84,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0
853,7262,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,8,2,0,0,5,1,1,0,0,0,0,94,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,114,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
873,7682,1,0,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0,11,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,3,0,0,0,0,1,0,99,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0
893,8103,0,0,0,0,2,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,0,0,0,118,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
913,NA,0,0,0,0,1,49,0,0,0,0,0,0,0,164,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,133,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,144,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
