"sample.depths","sample.ages","upland.sum","Picea","Abies","Larix","Juniperus.Thuja","Pinus.banksiana.P..resinosa","Pinus.undiff.","Pinus.strobus","Betula","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Populus.balsamifera.type","Ulmus","Tilia","Ostrya.Carpinus","Quercus","Acer.saccharum","Acer.saccharinum.type","Acer.rubrum","Acer.negundo","Acer.undiff.","Carya","Platanus","Morus","Celtis","Tsuga.canadensis","Juglans.cinerea","Juglans.nigra","Fagus","Salix","Alnus.incana.type","Alnus.viridis.type","Corylus","Sarcobatus.vermiculatus","Ephedra.torreyana.type","Ephedra.nevadensis.type","Rosa.type","Shepherdia.argentea","Rhus","Myrica","Ceanothus","Vitis","Cornus.undiff.","Cornus.sericea","Viburnum","Cyperaceae","Poaceae.undiff.","Cerealia.undiff.","Avena.Triticum","Zea","Artemisia","Ambrosia.type","Iva.annua.type","Iva.xanthifolia.type","Xanthium","Bidens","Aster.type","Anthemis.type","Taraxacum.type","Chenopodiaceae.undiff.","Humulus.Cannabis.sativa","Urtica","Plantago.undiff.","Plantago.major.P..media","Rumex","Thalictrum","Dalea.purpurea","Amorpha.type","Potentilla.type","Spiraea.type","Sanguisorba.canadensis","Ranunculaceae.undiff.","Anemone.type","Ranunculus.type","Stachys.type","Polygonum.persicaria","Campanula","Armeria","Gentiana","Caryophyllaceae","Apiaceae","Rubiaceae","Brassicaceae","Fabaceae.undiff.","Trifolium.repens","Onagraceae","Knautia","Liliaceae","Allium.type"
700,7799,610,8,0,2,0,38,0,15,34,4,5,2,0,15,0,21,200,1,1,0,0,0,0,0,0,0,0,3,0,0,13,26,8,15,1,0,0,0,0,0,0,0,0,0,0,0,17,60,0,0,0,80,17,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
705,7883,839,7,2,6,2,94,0,3,43,13,1,0,0,27,0,14,254,0,5,0,0,0,0,3,0,0,0,0,1,0,8,25,11,12,3,0,0,0,0,0,0,0,1,0,0,0,18,103,0,0,0,109,27,4,0,2,1,4,0,0,28,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
710,7966,527,4,0,0,3,52,0,7,22,7,3,1,0,16,0,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,8,9,1,0,0,0,0,0,0,0,0,0,0,0,20,61,0,0,0,92,19,3,0,1,0,12,0,0,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,8132,707,1,0,0,2,56,0,4,29,5,2,0,0,24,0,13,193,1,0,0,0,0,2,0,0,0,0,1,0,0,15,28,7,10,5,0,0,0,0,0,0,0,1,0,1,0,26,66,0,0,0,134,38,4,1,0,0,7,0,0,24,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
730,8295,821,5,3,1,3,42,0,10,30,7,0,1,0,32,0,17,149,0,0,0,0,3,2,0,0,0,0,0,1,0,2,8,4,14,5,0,0,0,0,0,1,0,0,0,0,0,157,96,0,0,0,120,57,7,2,0,8,1,0,0,20,0,0,1,0,0,0,1,2,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
740,8454,524,1,0,0,3,21,0,1,25,10,0,0,0,36,0,3,176,1,0,0,0,0,1,0,0,0,0,0,0,0,4,9,0,17,1,0,0,0,0,0,0,0,1,0,0,0,11,65,0,0,0,64,40,7,1,3,0,3,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
746,8546,663,1,0,0,3,47,1,4,10,5,4,1,0,19,0,5,112,0,0,0,0,1,1,0,0,0,0,0,0,0,5,6,6,8,5,0,0,0,0,0,3,0,0,3,0,0,17,95,0,0,0,167,75,8,1,0,8,2,1,0,30,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
756,8695,486,1,0,3,2,58,0,2,25,8,0,0,0,15,1,9,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,8,1,0,0,0,0,0,0,0,0,0,0,0,18,62,0,0,0,88,29,5,0,2,1,5,0,0,25,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
766,8835,883,6,1,2,1,113,1,2,29,2,2,4,0,12,0,9,79,1,0,0,0,1,0,0,0,0,1,0,0,0,20,12,7,23,4,1,0,1,0,0,0,0,0,1,1,1,28,110,0,0,0,249,78,3,2,0,2,9,0,0,47,0,0,0,0,0,3,0,5,2,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
775,8953,691,5,1,1,3,171,0,11,43,12,1,1,0,23,0,11,74,0,0,0,0,0,4,0,0,0,0,1,0,0,21,19,12,19,1,0,0,0,0,0,0,0,0,0,0,0,28,68,0,0,0,90,35,3,0,2,0,5,0,0,22,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,8966,577,3,0,1,5,135,0,4,41,10,2,0,0,20,0,13,63,0,0,0,0,1,0,0,0,0,0,0,0,0,6,19,11,10,2,0,0,0,2,0,0,1,1,0,0,0,15,67,0,0,0,74,30,1,1,2,0,7,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,9088,500,6,3,0,2,164,0,6,45,4,6,2,0,8,0,2,16,0,0,0,0,1,1,0,0,0,0,0,0,0,7,34,4,13,0,0,0,0,3,0,0,0,0,1,0,0,14,56,0,0,0,66,20,1,1,0,2,2,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,9146,926,9,0,0,5,325,0,7,77,7,4,0,0,20,0,18,50,1,0,0,0,2,0,0,0,0,1,0,0,0,18,27,9,33,2,0,0,0,0,0,0,0,0,0,1,0,29,77,0,0,0,124,40,0,1,0,1,7,0,1,23,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
795,9192,708,4,0,1,6,261,0,4,48,9,1,0,0,21,0,8,32,2,0,0,0,0,1,0,0,0,0,0,0,0,11,11,14,4,4,0,0,0,1,0,0,1,0,0,0,0,30,71,0,0,0,99,22,1,0,3,1,9,0,0,23,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
796,9203,1516,9,0,1,3,455,0,4,157,15,0,2,1,20,1,20,137,5,0,1,0,1,4,1,1,0,0,0,0,0,13,67,7,33,5,0,0,0,3,0,0,0,0,0,0,0,28,128,0,0,0,236,66,2,1,1,0,15,0,0,65,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
801,9258,1094,15,2,3,3,451,0,2,71,4,0,0,0,27,0,18,52,0,2,0,0,0,2,0,0,0,1,1,1,0,8,52,5,15,1,0,0,0,0,0,0,0,0,0,0,0,50,97,0,0,0,131,65,1,1,1,2,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
806,9312,669,8,0,1,8,213,0,8,56,3,0,0,0,20,0,17,28,0,0,0,0,0,1,0,0,0,0,0,0,0,15,34,11,15,4,0,0,0,0,0,0,0,0,2,0,0,25,67,0,0,0,83,22,0,2,1,0,7,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
816,9418,512,3,0,0,6,192,21,2,27,6,1,0,0,18,1,8,24,0,1,0,0,0,1,0,0,0,0,0,0,0,4,23,10,1,0,0,0,1,1,0,0,0,0,1,0,0,20,26,0,0,0,56,33,1,1,0,2,0,0,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
826,9521,435,12,4,4,0,155,0,2,34,1,0,2,0,7,0,4,20,2,0,0,0,0,0,0,0,0,0,2,1,0,2,20,13,12,2,0,0,0,0,0,0,0,0,0,1,0,13,32,1,0,0,46,13,0,1,0,5,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
829,9551,1183,15,1,18,19,384,0,6,80,7,2,5,0,38,0,11,45,1,1,0,0,0,2,0,0,0,0,4,0,0,4,46,27,5,1,0,0,0,1,1,0,1,0,0,0,0,49,110,3,0,0,179,78,3,4,0,2,0,0,0,23,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
833,9592,601,12,4,5,11,163,0,4,54,7,4,6,2,30,0,6,25,1,1,0,0,1,0,0,0,1,0,2,2,0,9,45,12,16,1,1,0,2,1,0,0,0,0,0,0,0,12,52,0,0,0,51,24,0,0,0,3,2,0,0,20,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
835,9613,848,9,3,13,13,293,1,7,56,7,1,6,2,26,1,25,27,1,0,0,0,0,2,0,0,0,0,2,1,0,27,37,3,14,1,1,0,0,2,0,1,0,0,1,0,0,10,44,0,0,0,111,38,1,2,0,7,5,0,0,39,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
840,9664,613,9,2,4,12,176,0,2,70,9,2,9,0,51,0,6,27,2,0,0,0,1,3,0,0,1,0,0,0,0,7,30,11,10,1,0,0,0,0,0,0,0,0,0,0,0,8,40,0,0,0,60,31,1,0,0,0,5,0,0,19,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
842,9684,479,2,0,0,2,200,0,4,52,3,1,5,0,3,1,3,15,0,0,0,0,1,0,0,0,0,0,0,1,0,3,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,56,23,1,3,0,1,4,0,0,55,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,9767,754,11,8,6,20,350,0,21,60,3,2,3,0,18,1,20,7,1,0,1,0,0,0,0,1,0,1,2,1,0,7,35,13,2,2,1,0,0,1,0,1,0,0,0,0,0,18,30,0,0,0,45,27,1,2,0,1,4,0,0,20,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
851,9777,678,12,1,6,1,357,0,3,69,2,0,2,1,31,0,4,28,1,0,0,0,0,2,0,0,0,0,0,0,0,4,15,6,6,0,0,0,0,0,0,3,0,0,0,1,0,21,32,0,0,0,31,19,0,0,0,0,3,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
852,9788,544,3,4,1,3,333,0,2,48,0,1,0,0,8,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,6,1,0,0,0,1,0,0,0,0,0,0,0,0,13,19,0,0,0,21,12,0,1,2,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
854,9809,640,1,5,5,4,341,0,1,62,2,0,1,0,18,0,23,13,0,0,0,0,0,2,0,0,0,0,0,7,0,6,12,7,6,1,0,0,0,2,1,0,0,0,0,0,0,2,25,0,0,0,39,23,1,0,0,1,3,0,0,21,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
856,9830,537,6,7,4,3,284,0,24,28,1,5,3,0,10,0,5,7,0,1,0,0,0,2,0,0,0,0,0,0,0,9,13,7,2,0,0,0,0,0,1,2,1,0,0,0,0,27,24,0,0,0,40,7,1,1,0,2,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,9841,871,11,8,7,11,467,0,16,56,6,1,3,0,29,0,17,30,5,1,0,0,0,4,0,0,0,0,1,1,0,12,26,11,6,0,0,0,0,2,1,1,0,0,0,0,0,15,53,0,0,0,32,14,1,0,1,4,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,9862,594,14,9,15,0,244,0,10,33,2,3,4,0,27,1,3,12,1,0,0,0,0,0,0,0,2,1,1,0,0,2,19,9,5,1,1,0,0,0,0,1,0,0,0,0,0,27,39,0,0,0,49,22,6,1,0,6,0,0,0,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
860,9873,818,5,5,18,5,469,0,5,26,4,4,1,0,33,0,14,10,0,0,0,0,1,1,0,0,0,0,2,0,0,5,19,17,3,1,1,1,0,0,0,0,0,0,0,0,0,24,48,0,0,0,34,29,1,1,0,2,1,0,0,17,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
862,9894,364,5,6,2,2,180,0,7,30,0,2,1,1,14,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,6,2,0,0,0,0,0,0,2,0,0,0,0,0,12,14,0,0,0,21,10,1,1,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
864,9916,1097,16,7,7,7,627,0,41,68,3,4,7,0,39,0,22,33,0,0,0,0,0,5,0,0,0,0,3,2,0,16,32,7,4,1,1,0,0,0,0,0,0,0,1,0,0,27,39,0,0,0,41,16,1,0,0,0,4,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
865,9927,663,15,23,3,5,332,0,25,58,3,4,1,0,19,0,10,16,1,2,0,0,0,0,0,0,0,0,2,0,0,2,16,15,3,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,45,15,1,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
868,9960,901,6,2,1,3,526,0,1,115,4,1,5,0,32,0,11,32,5,1,0,0,1,1,0,0,0,0,0,0,0,4,28,2,4,1,0,0,0,0,0,0,0,0,0,0,0,20,31,0,0,0,25,24,3,1,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
870,9983,1127,12,1,1,4,552,0,25,265,1,2,2,3,47,0,19,35,3,0,2,0,0,3,0,0,0,0,0,0,0,8,16,11,11,2,0,0,0,0,1,1,0,0,0,0,0,14,26,0,0,0,21,18,0,2,0,0,5,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
873,10017,1264,16,3,3,4,954,0,12,64,2,1,2,0,32,0,1,36,0,1,0,0,0,4,0,0,0,0,0,1,0,4,16,8,1,0,0,0,0,0,0,1,0,0,2,0,0,18,15,0,0,0,24,16,0,0,0,2,0,0,0,14,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
874,10029,770,7,1,2,0,495,0,12,56,2,3,2,0,60,1,11,24,1,1,0,0,0,8,0,0,0,0,1,1,0,7,8,3,10,0,0,0,0,0,0,1,0,0,0,0,0,3,13,0,0,0,14,12,0,0,0,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
875,10040,720,5,0,0,1,356,0,33,102,5,2,5,1,66,1,10,28,0,1,0,0,0,2,0,0,0,0,1,1,0,3,19,4,6,0,0,0,0,0,1,0,0,0,0,0,1,4,23,0,0,0,19,6,1,2,0,1,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
878,10075,1497,16,6,6,5,880,0,7,228,1,1,8,0,77,0,29,33,1,0,1,0,1,4,0,0,0,0,3,1,0,5,32,20,20,1,0,0,1,0,0,1,0,0,0,0,0,23,25,0,0,0,30,12,1,1,0,2,2,0,0,6,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
880,10099,1011,20,7,2,1,719,0,25,39,1,1,0,1,33,0,15,23,0,0,0,0,0,5,0,0,0,0,1,0,0,2,25,6,9,0,0,0,0,0,0,1,0,1,0,0,0,4,20,0,0,0,22,12,1,0,1,1,0,0,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,10159,967,17,0,4,0,623,0,6,113,7,1,0,0,38,0,16,25,1,0,0,0,0,2,0,0,1,0,0,0,0,5,14,4,12,1,0,0,0,0,0,0,1,0,0,0,0,12,12,0,0,0,24,13,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,10221,1223,36,5,8,3,735,0,6,129,3,2,4,0,100,0,15,29,2,0,0,0,0,3,0,0,0,0,4,0,0,8,13,6,7,1,0,0,0,0,0,0,0,0,1,0,0,33,26,0,0,0,15,9,1,2,0,1,1,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
897,10310,837,18,3,5,2,560,2,12,58,8,1,0,0,60,0,9,15,3,0,0,0,0,5,0,0,0,0,0,1,0,3,8,0,9,1,0,0,0,0,1,0,0,0,0,0,0,6,13,0,0,0,17,8,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
902,10375,702,33,3,3,2,454,4,9,84,1,0,0,0,29,1,12,24,1,1,0,0,0,0,1,0,0,0,1,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,7,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
907,10441,1031,34,3,7,10,507,0,30,150,7,4,5,0,91,0,20,41,1,1,0,0,2,4,0,0,1,2,1,1,0,7,8,1,15,1,0,0,0,0,0,0,0,0,1,0,0,17,10,0,0,0,18,20,0,0,0,2,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915,10548,1265,62,3,9,3,669,0,2,263,8,10,8,1,59,0,9,34,0,0,0,0,0,10,0,0,1,0,2,0,0,6,7,1,34,0,0,0,0,0,0,0,0,0,1,0,0,12,13,0,0,0,12,11,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
923,10654,1457,85,4,14,4,882,6,10,220,13,9,2,0,50,0,14,45,1,2,0,0,0,3,0,1,1,0,2,0,0,0,4,2,13,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,23,7,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
928,10719,888,126,0,5,4,508,0,10,103,13,0,1,0,36,0,9,14,1,2,0,0,0,3,0,0,1,0,1,0,0,6,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,4,10,0,0,0,13,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951,10984,220,85,0,7,2,49,0,0,14,1,0,1,0,4,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,18,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,11268,307,238,0,4,1,6,0,0,3,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,28,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,11334,408,285,6,8,2,1,0,1,13,7,4,2,1,10,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,3,7,0,0,0,28,3,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,11406,491,390,1,13,0,3,0,0,6,0,2,2,0,1,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,30,6,0,1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1058,11417,1101,808,3,38,25,22,0,1,45,8,1,2,0,8,0,13,20,3,0,0,0,0,1,0,0,0,0,0,0,0,9,2,1,9,0,1,0,0,0,0,0,0,3,0,0,0,20,12,0,0,0,42,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,11419,335,247,2,7,1,18,0,1,6,0,0,1,0,8,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,NA,559,417,2,5,3,1,0,0,3,6,2,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,66,5,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1168,NA,400,275,0,0,5,6,1,0,24,8,0,0,0,12,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,27,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
