"sample.depths","sample.ages","Abies","Acer","Adiantum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryas.type","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus","Gentianaceae","Geranium","Herbs.undiff.","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Iva","Juglans","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Moraceae","Myrica","Nuphar","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Sambucus","Sarcobatus.vermiculatus","Scrophulariaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Vitis","Woodsia"
166,9980,0,0,0,0,14,0,0,0,0,0,0,0,188,0,1,0,0,0,0,0,0,23,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,5,0,0,1,1,0,0,0,3,2,3,10,1,10,0,0,1,0,0,0,1,1,0,0,0,9,0,0,0,1,1,0,0,19,0,0,0,1,0,0
170,10043,1,0,0,5,9,0,1,1,0,0,0,0,245,0,0,0,0,0,0,2,1,44,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,10,0,0,2,4,0,0,0,4,17,4,4,1,21,0,0,13,0,0,0,0,3,0,2,1,29,0,0,0,0,1,0,1,8,0,0,0,2,0,0
174,10106,0,0,0,0,5,0,0,2,2,0,0,0,70,0,0,0,0,0,0,0,0,28,1,0,12,0,1,18,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,7,1,0,1,5,0,0,0,9,10,2,7,2,20,0,0,7,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,3,0,1,1,3,0,1
178,10391,2,0,0,2,44,0,5,7,0,0,0,0,139,0,2,0,0,0,0,0,1,48,0,0,13,0,0,19,0,0,0,0,0,0,0,0,0,0,28,0,0,1,1,7,2,0,0,4,0,0,1,0,43,4,16,3,29,0,0,12,1,0,0,4,3,0,0,1,40,0,0,0,1,3,0,1,7,1,0,0,0,0,0
182,10749,2,0,0,9,23,2,0,9,3,0,0,0,97,0,1,0,1,0,0,0,1,80,0,2,31,0,0,36,0,4,0,0,0,0,0,1,0,0,9,1,0,0,0,1,4,0,0,10,0,0,1,0,16,4,5,6,22,1,0,27,0,1,0,3,6,0,7,1,46,0,0,0,5,2,0,0,11,0,0,2,2,0,0
186,11107,0,2,1,9,6,0,0,2,3,0,0,0,55,0,3,0,0,0,0,1,3,62,0,0,20,0,0,18,1,5,0,0,1,0,0,0,0,0,18,0,0,0,0,3,2,0,0,8,0,0,1,0,20,0,4,1,25,0,0,34,0,0,0,1,2,0,3,3,72,0,0,0,6,2,0,0,2,0,0,2,4,0,0
190,11466,1,0,0,7,1,1,4,2,0,1,0,0,45,0,2,0,0,1,0,1,0,30,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,6,2,0,0,3,0,0,2,0,10,1,0,0,24,2,0,7,0,0,0,2,2,0,5,2,49,0,0,0,0,6,0,0,2,0,0,1,4,0,0
194,11824,1,1,0,27,4,0,1,0,3,0,0,0,33,0,2,0,0,0,0,0,5,37,1,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,3,0,0,1,0,0,4,0,27,1,1,0,19,0,0,35,0,0,0,1,0,0,6,1,71,0,0,0,0,6,0,0,0,0,0,1,3,0,0
198,12182,3,0,0,40,8,0,6,1,3,0,0,0,70,0,1,0,0,0,0,0,1,10,1,0,15,4,0,2,0,0,0,0,0,1,0,1,0,0,19,2,0,0,0,0,0,0,0,8,0,0,6,1,19,4,2,0,14,0,0,46,0,0,0,1,1,0,4,0,94,0,0,0,0,4,0,0,4,0,1,0,1,0,0
202,NA,1,0,0,135,6,1,2,0,4,0,0,0,83,0,0,0,0,0,0,0,1,9,0,0,12,2,0,4,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,5,1,0,0,2,0,0,12,0,17,7,0,0,4,0,1,29,0,0,1,1,0,0,1,0,2,0,0,0,0,17,0,0,14,1,0,0,1,0,0
206,NA,1,0,0,7,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0
