"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Fagus","Ostrya.Carpinus","Picea","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Populus","Poaceae","Corylus","Cyperaceae","Rosaceae","Abies","Asteraceae.undiff.","Sarcobatus.vermiculatus","Celtis","Thalictrum","Herbs.undiff.","Larix","Ericaceae","Shepherdia","Ephedra"
115,6564,0.00760456273764259,0.0114068441064639,0.032319391634981,0.00570342205323194,0.00380228136882129,0,0.00570342205323194,0.0342205323193916,0.00190114068441065,0.193916349809886,0.00190114068441065,0,0.00190114068441065,0.085551330798479,0.0152091254752852,0.0114068441064639,0.00190114068441065,0.00380228136882129,0.568441064638783,0,0.00190114068441065,0,0.00570342205323194,0,0.00190114068441065,0.00190114068441065,0,0,0,0.00190114068441065,0,0,0,0
125,7130,0.0146103896103896,0.0064935064935065,0.0308441558441558,0.00324675324675325,0.00162337662337662,0.00162337662337662,0.00324675324675325,0.0422077922077922,0.00487012987012987,0.206168831168831,0.00162337662337662,0,0,0.0551948051948052,0.00487012987012987,0.0194805194805195,0.0064935064935065,0.00324675324675325,0.563311688311688,0.00487012987012987,0.012987012987013,0,0.00324675324675325,0,0.00324675324675325,0.00487012987012987,0,0,0,0.00162337662337662,0,0,0,0
135,7680,0.0479573712255773,0.019538188277087,0.0426287744227353,0.00710479573712256,0.00710479573712256,0.00177619893428064,0.00355239786856128,0.0781527531083481,0.0106571936056838,0.19538188277087,0,0.00177619893428064,0,0.0870337477797513,0.0106571936056838,0.00710479573712256,0.0124333925399645,0,0.44404973357016,0.00355239786856128,0.00710479573712256,0,0.00177619893428064,0.00177619893428064,0.00177619893428064,0,0.00177619893428064,0.00177619893428064,0,0.00355239786856128,0,0,0,0
145,8209,0.0366300366300366,0.010989010989011,0.0494505494505494,0.00183150183150183,0.010989010989011,0.00183150183150183,0,0.0567765567765568,0.00366300366300366,0.146520146520147,0.00549450549450549,0,0,0.0274725274725275,0.00915750915750916,0.00732600732600733,0.0146520146520147,0.00183150183150183,0.578754578754579,0.00183150183150183,0.0128205128205128,0,0.00366300366300366,0.00549450549450549,0.00366300366300366,0.00549450549450549,0,0.00183150183150183,0,0.00183150183150183,0,0,0,0
155,8711,0.0287907869481766,0.0249520153550864,0.0575815738963532,0.00383877159309021,0.0115163147792706,0,0,0.0383877159309021,0.0115163147792706,0.130518234165067,0,0,0,0.0345489443378119,0.00959692898272553,0.0134357005758157,0.017274472168906,0.00191938579654511,0.570057581573896,0.00767754318618042,0.0191938579654511,0.00191938579654511,0.00383877159309021,0.00191938579654511,0.00191938579654511,0.00383877159309021,0,0,0,0.00383877159309021,0.00191938579654511,0,0,0
165,9180,0.0338345864661654,0.0169172932330827,0.0714285714285714,0.0112781954887218,0.0018796992481203,0.0037593984962406,0,0.0526315789473684,0.0112781954887218,0.133458646616541,0,0,0,0.0451127819548872,0.0093984962406015,0.0075187969924812,0.0075187969924812,0,0.571428571428571,0.0037593984962406,0.0056390977443609,0.0056390977443609,0.0018796992481203,0,0.0018796992481203,0.0037593984962406,0,0,0,0,0,0,0,0
180,9811,0.0241187384044527,0.0166975881261596,0.0500927643784787,0.00927643784786642,0.0148423005565863,0.00371057513914657,0,0.0426716141001855,0.00927643784786642,0.142857142857143,0,0.00185528756957328,0,0.038961038961039,0.00927643784786642,0.00927643784786642,0.0222634508348794,0.00185528756957328,0.565862708719852,0.0111317254174397,0.00742115027829314,0,0.00742115027829314,0,0.00371057513914657,0.00742115027829314,0,0,0,0,0,0,0,0
190,10175,0.0363288718929254,0.0248565965583174,0.0382409177820268,0.00764818355640535,0.00573613766730402,0.00191204588910134,0,0.0325047801147228,0.011472275334608,0.135755258126195,0,0,0,0.0420650095602294,0.00191204588910134,0.00382409177820268,0.017208413001912,0,0.602294455066922,0.0152963671128107,0.0095602294455067,0.00382409177820268,0.00191204588910134,0,0,0.00764818355640535,0,0,0,0,0,0,0,0
200,10487,0.0272373540856031,0.0311284046692607,0.0369649805447471,0.0116731517509728,0.00389105058365759,0.00194552529182879,0.00194552529182879,0.0466926070038911,0.00972762645914397,0.11284046692607,0.00194552529182879,0.00194552529182879,0,0.0428015564202335,0.0116731517509728,0.00583657587548638,0.0408560311284047,0.00972762645914397,0.575875486381323,0.00194552529182879,0.00778210116731518,0.00778210116731518,0.00194552529182879,0,0,0.00389105058365759,0,0,0,0,0.00194552529182879,0,0,0
210,10742,0.0183823529411765,0.0404411764705882,0.0551470588235294,0.00735294117647059,0.00367647058823529,0,0,0.0625,0.00551470588235294,0.106617647058824,0.00183823529411765,0,0,0.0367647058823529,0.00183823529411765,0.00919117647058824,0.0147058823529412,0.00183823529411765,0.602941176470588,0.0147058823529412,0.00919117647058824,0.00367647058823529,0,0,0.00183823529411765,0,0.00183823529411765,0,0,0,0,0,0,0
